title,description,category,text
Квартира студия,Рядом находится общественный транспорт и необходимая инфраструктура. Есть дополнительные фотографии.,Недвижимость,Квартира студия. Рядом находится общественный транспорт и необходимая инфраструктура. Есть дополнительные фотографии.
Фотосессия,"Работаю с частными клиентами, стоимость обсуждается заранее. Подробности расскажу по телефону.",Услуги,"Фотосессия. Работаю с частными клиентами, стоимость обсуждается заранее. Подробности расскажу по телефону."
Renault Logan,"Салон аккуратный, без посторонних запахов. Доставка обсуждается отдельно.",Автомобили,"Renault Logan. Салон аккуратный, без посторонних запахов. Доставка обсуждается отдельно."
Volkswagen Polo,"Пробег подтвержден, документы в порядке. Есть дополнительные фотографии.",Автомобили,"Volkswagen Polo. Пробег подтвержден, документы в порядке. Есть дополнительные фотографии."
Kia Rio,Есть комплект зимней резины. Есть дополнительные фотографии.,Автомобили,Kia Rio. Есть комплект зимней резины. Есть дополнительные фотографии.
Компьютерный стол,Можно забрать самостоятельно. Возможен торг.,Мебель,Компьютерный стол. Можно забрать самостоятельно. Возможен торг.
Комод для спальни,Удобный вариант для небольшой комнаты. Можно посмотреть перед покупкой.,Мебель,Комод для спальни. Удобный вариант для небольшой комнаты. Можно посмотреть перед покупкой.
Монтаж видео,Работаю аккуратно и соблюдаю сроки. Срочная продажа.,Услуги,Монтаж видео. Работаю аккуратно и соблюдаю сроки. Срочная продажа.
Мужские кроссовки,Можно примерить перед покупкой. Пишите в сообщения.,Одежда,Мужские кроссовки. Можно примерить перед покупкой. Пишите в сообщения.
Ford Focus,"Салон аккуратный, без посторонних запахов. Есть дополнительные фотографии.",Автомобили,"Ford Focus. Салон аккуратный, без посторонних запахов. Есть дополнительные фотографии."
Разработка сайта,Принимаю заказы онлайн и в городе. Самовывоз.,Услуги,Разработка сайта. Принимаю заказы онлайн и в городе. Самовывоз.
Компьютер для работы,"Подойдет для работы, учебы и повседневных задач. Реальные фотографии.",Электроника,"Компьютер для работы. Подойдет для работы, учебы и повседневных задач. Реальные фотографии."
Вечернее платье,Без пятен и повреждений. Реальные фотографии.,Одежда,Вечернее платье. Без пятен и повреждений. Реальные фотографии.
Кресло для гостиной,"Хорошее состояние, без серьезных повреждений. Возможен торг.",Мебель,"Кресло для гостиной. Хорошее состояние, без серьезных повреждений. Возможен торг."
Обеденный стол,"Хорошее состояние, без серьезных повреждений. Есть дополнительные фотографии.",Мебель,"Обеденный стол. Хорошее состояние, без серьезных повреждений. Есть дополнительные фотографии."
Квартира студия,"Хороший район, рядом магазины и остановки. Подробности расскажу по телефону.",Недвижимость,"Квартира студия. Хороший район, рядом магазины и остановки. Подробности расскажу по телефону."
Настройка ноутбука,Примеры выполненных работ отправлю по запросу. Реальные фотографии.,Услуги,Настройка ноутбука. Примеры выполненных работ отправлю по запросу. Реальные фотографии.
Кухонный гарнитур,"Есть небольшие следы эксплуатации, на функциональность не влияют. Самовывоз.",Мебель,"Кухонный гарнитур. Есть небольшие следы эксплуатации, на функциональность не влияют. Самовывоз."
